,Spreadsheet maintain by HTMAG community - join discord to discuss and contribute https://howtomarketagame.com/,,,,,,,,,,,
,OPEN,CLOSING SOON!,LAST DAY!,,,,,,,,,
Festival,Type,When,Deadline (YYYY-MM-DD),Submission Open,Price,Steam page,"Was it worth the price?
Opinions are biased (check comments)",Comments,Event official page,Latest Steam page,Discord Notify (7D before),Days to submit
SXSW Sydney Games,Physical/Digital Expo,October,2025-06-30,FALSE,27$/Free,"Yes, featuring",???,Curated event.,https://www.sxswsydney.com/participate/games-festival-showcase,https://store.steampowered.com/sale/sxswsydneygameawards,FALSE,-148
Games From Vancouver,Physical Expo + Digital,November,2025-10-17,TRUE,Free,"Yes, additional featuring TBD",Yes,"Games made in Vancouver, Greater Vancouver, Vancouver Island, and greater BC, favouring games able to discount during Nov 21-30 to assist with additional featuring ask. Unreleased and undiscounted games still accepted on case by case basis and will be in separate section of page.",https://docs.google.com/forms/d/e/1FAIpQLSeP7rKFPXudgdzE3S0fM1iDMKx24PGFIcBWkRdOqB5eb5uw_A/viewform,,FALSE,-39
Indie MEGABOOTH,Physical Expo,April,TBA,FALSE,???,Yes,???,Curated event,https://store.steampowered.com/sale/IndieMEGABOOTH,https://indiemegabooth.com/about/submissions/,#VALUE!,#VALUE!
PAX West,Physical Expo,September,TBA,FALSE,Expensive or Free,Yes with front page featuring,Greatly Depends,"Physical presence is expensive, hard to justify price especially if you have to travel for the event. There is a chance to be selected as part of PAX 10, 10 games there are free to participate.",https://west.paxsite.com/,https://store.steampowered.com/sale/pax,#VALUE!,#VALUE!
WePlay,Physical Expo,November,2025-11-22,FALSE,???,"Yes, with featuring",Yes,,https://www.weplaymore.com/english,https://store.steampowered.com/sale/weplay2022,FALSE,-3
Experimental Games Showcase,Physical Expo,March,2025-10-31,FALSE,Free,No,Most likely not,Physical event at GDC,https://www.experimentalgamesshowcase.com/,,FALSE,-25
Super FESTival,Physical Expo,November,2025-08-09,FALSE,Paid,???,???,Curated event.,https://www.handeyesociety.com/event/%F0%9F%8E%89-submissions-are-open-for-super-festival-2025/,,FALSE,-108
Glasgow Independent Games Festival,Physical Expo,August,2025-06-01,FALSE,???,???,???,"Curated event. ""There will be a selection process and we aim to get in touch with everyone to let you know the outcome within a couple of weeks of the deadline.""","https://docs.google.com/forms/d/e/1FAIpQLSdSFRqRDr_XpiT9_PTLy-b4sISvj9TZ2LhoEvJrYRhcj4gXLQ/viewform
https://glasgowindiegamesfest.org/",,FALSE,-177
Secret Sauce,Physical Expo,July,2025-05-16,FALSE,Free/Paid,Yes,???,Curated event.,https://opensauce.com/secret-sauce/,,FALSE,-193
Tokyo Game Show,Physical Expo,October,2025-05-16,FALSE,Paid/Free,Yes with front page featuring,Yes,"Curated event. Nice steam feature, tons of WL.",https://events.nikkeibp.co.jp/tgs/2025/en/exhibitor/indie/,https://store.steampowered.com/sale/TGS2021,FALSE,-193
Gamescom Europe - Indie Arena Booth,Physical Expo,August,2025-04-16,FALSE,from 3000 euro,Yes with front page featuring,Depends ,Subbooth at Gamescom with kinda indie friendly prices (or not as of 2023),https://indiearenabooth.de,https://store.steampowered.com/sale/IndieArenaBooth2021,FALSE,-223
Digital Dragons - Indie Showcase,Physical Expo,May,2025-03-31,FALSE,Around750$,No,Last edition doesn't seems to be worth it (no steam featuring),"Curated event, around 40 games. Read rules, probably you need to be physically present in Krakow / Poland.
""regarding the Digital Dragons Indie Showcase:
- last year had a Steam event with some visibility, was actually alright for us,
- you need to be present in Krakow, Poland in May to take part,
- you need to buy your own tickets for the whole team (the organizer provides a discount code but no free passes) (unless anything changed here)""",https://digitaldragons.pl/,missing?,FALSE,-239
Bitsummit,Physical Expo,July,2025-02-28,FALSE,~$25 (entry) ~$280 (booth),"Yes, featuring???",Will see & update here :),Curated event. More info on submission: https://bitsummit.org/en/submission-faq-eng/,https://bs-entry-system.com/en/,https://store.steampowered.com/curator/41060548-BitSummit/sale/bitsummit8thbit,FALSE,-270
Digital Vikings,Physical Expo,March,2025-01-27,FALSE,Paid/Free,???,???,"Curated event. ""Submissions are free, but to participate in the in-person activities and/or if you’re nominated for the Digital Vikings Awards, you’ll need to purchase a ticket to attend DevGAMM Gdańsk 2025.""",https://www.digitalvikings.pl/,,FALSE,-302
Play24,Physical Expo,November,2024-09-01,FALSE,???,???,???,Curated event.,https://www.playfestival.de/index_en.html,,FALSE,-450
PAX West - PAX Rising Showcase,Physical Expo,September,2024-06-10,FALSE,$50,Yes,Yes,"Physical presence at PAX, curated event",https://west.paxsite.com/,https://store.steampowered.com/sale/pax,FALSE,-533
DevPlay,Physical Expo,October,2024-04-26,FALSE,119$,Yes,Yes,"Eligible countries: Romania, Poland, Serbia, Bulgaria, Ukraine, Hungary, Moldova, Albania, North Macedonia, Georgia, Kosovo, Montenegro, Bosnia and Herzegovina, Latvia, Lithuania, Estonia.",https://dev-play.ro/indie-festival-2/,https://store.steampowered.com/sale/devplay,FALSE,-578
Taipei Game Show,Physical Expo,January,2023-10-11,FALSE,Paid,???,???,Paid event.,https://tgs.tca.org.tw/indie_application_e.php,,FALSE,-776
London Game Fest - WASD Curios,Physical Expo,April,2023-01-13,FALSE,Free,No,???,"Curated event. Physical expo but don't have to attend, we don't know if it will be worth it",https://docs.google.com/forms/d/e/1FAIpQLSfleAammPAZ9CzCkql71ikKXjHPLVIX0DlbcOsRf-ao3tA90Q/viewform,???,FALSE,-1047
Experimental Game Workshop,Physical Expo,March,2023-01-01,FALSE,Free,No,???,Curated event.,https://www.experimentalgameworkshop.org/,,FALSE,-1059
EGX / The Leftfield Collection,Physical Expo,October,2022-06-30,FALSE,Free,No?,Depends,`,https://www.egx.net/london/en-gb/things-to-do/the-leftfield-collection.html,,FALSE,-1244
PAX East - PAX Rising Showcase,Physical Expo,April,2022-03-01,FALSE,$50,"Hard to tell, they returned to physical format","Depends, steam featuring was very poor for last edition","Curated event at PAX, physical presense is expensive.",https://store.penny-arcade.com/products/pax-rising-showcase,,FALSE,-1365
MomoCon - Indie Awards Showcase,Physical Awards,May,TBA,FALSE,$50,No,Yes,Curated event. Some media coverage like Kotaku is possible. (Judges are from press),https://www.momocon.com/indies/,,#VALUE!,#VALUE!
BIG Festival,Physical Awards,June,2025-01-15,FALSE,Free?,???,???,"""the most important game festival in Latin Americ"", not much info about rules and submissions avaible publicly",https://bigfestival.com.br/en/submissions/,,FALSE,-314
Pixel Heaven - Pixel Awards Europe,Physical Awards,June,2023-04-28,FALSE,Free,No,No,"Curated Event, Need to be able to go to Warsaw if selected.Event didn't offer much of exposure.
Probably not worth it if you are not local dev.",https://www.pixelheavenfest.com/en/pixel-awards-europe/,,FALSE,-942
Games For Change Festival,Hybrid Expo/Awards,July,2023-02-06,FALSE,???,"Yes, featuring???",???,Curated event. Need more info.,https://g4cawards.secure-platform.com/a,https://store.steampowered.com/sale/g4c,FALSE,-1023
Latinx Game Festival,Hybrid Expo,September,2022-06-12,FALSE,Free,???,???,Curated event.,https://www.latinxgamesfestival.com/,,FALSE,-1262
EGX / Birmingham,Hybrid Expo,March,2022-03-01,FALSE,Paid,Probably yes,"Expensive, greatly depends","Paid event, pretty expensive. In the past EGX didn't manage to get decent featuring on Steam. People complained it wasn't worth the money in terms of WL gain.",https://www.egx.net/,https://store.steampowered.com/sale/egx2021,FALSE,-1365
Games in Sweden,Digital Expo,January,TBA,FALSE,Free,Yes,???,This event is to show off the amazing games that have come out of Sweden so please only apply if you are a Sweden-based publisher or Development Studio. ,https://docs.google.com/forms/d/e/1FAIpQLScl02Tdryqtest-ns7bAIlFCNiE0tsIK2BAwFZQYXD0HA5DXA/viewform,,#VALUE!,#VALUE!
"Game Over, T1D!",Digital Expo,February,TBA,FALSE,Free,"Yes, featuring???",???,"""this annual event supports the leading global type 1 diabetes (T1D) research and advocacy organization, helping to make everyday life better 💙 while driving toward cures.""",https://docs.google.com/forms/d/e/1FAIpQLSe7xsf7Lge6_UNyxOyg0-kIsOzmlhBZyRKO2zDV5IgPnDvzdA/viewform,,#VALUE!,#VALUE!
Iwocon,Digital Expo,March,TBA,FALSE,Free,"Yes (steam page + steam game), small featuring",Yes,Curated event. Decent streaming coverage for selected games and demos.,https://www.indieworldorder.com/,"https://store.steampowered.com/sale/iwocon2021
https://store.steampowered.com/app/1422300/IWOCon_2021/",#VALUE!,#VALUE!
The Mix Game Dev Direct,Digital Expo,March,TBA,FALSE,??? Probably $500 if you get selected,"Yes, featuring???",???,Curated event.,https://www.mediaindieexchange.com/,https://store.steampowered.com/sale/TheMIX,#VALUE!,#VALUE!
Indian Harvest Festival,Digital Expo,April,TBA,FALSE,???,Yes,???,Curated event,https://www.indianharvestfestival.com/,https://store.steampowered.com/sale/indianharvestfestival,#VALUE!,#VALUE!
E3 Expo (Online),Digital Expo,June,TBA,FALSE,Expensive,Yes with front page featuring,Greatly Depends,"So, it's super expensive. And there are like 3-5 different indie showcases going on here as well. One of them was Wholesome Direct. You are also competing against a crapton of AAA games. The value from impressions alone cannot be ascertained immediately, but wishlists gathered were pretty high, even if not exactly as cost-effective as perhaps a FB ad drive would be. Steam page also sucked. The way they did it was not intuitive and TBH it kinda failed in regards to how other Steam pages are treated.",https://e3expo.com/,https://store.steampowered.com/sale/e3showcase2021,#VALUE!,#VALUE!
