,Steam feature status,,,Feature details,,,,C - Cancelled
Festival,2021,2022,2023,2021,2022,2023,,Y - Featuring
Demospree,,,,,,,,N - No featuring
Games from Quebec,,,,,,,,"""-"" - didn't have edition in that year"
The Big Adventure Event,Y,Y,-,?,?,-,,"""?"" - unknown"
Tabletop Fest - Blood&Dice,Y,-,Y,?,-,?,,
The Mix - Black voices in gaming,?,Y,,?,?,,,
Games Germany,,,,,,,,
Steam Next Fest - Febuary,Y,Y,Y,Takeover,Takeover,Takeover,,
Latin American Games Showcase,,,,,,,,
Friendship Games Week,,,,,,,,
Cozy & Family Friendly Game Fest,-,-,Y,-,-,Weekend,,
EGX / Birmingham,,,,,,,,
Future Games Show - Spring,?,Y,Y,?,?,Middle page banner,,
Future Games Show - Summer,,,Y,,,Summer Spotlight mix https://store.steampowered.com/sale/summer_announcements_2023,,
IGF (Independent Games Festival),,,,,,,,
Iwocon,-,N,,-,-,,,
My Friend Machine,-,-,C,,,,,
The Mix - spring,Y,Y,Y,?,?,Middle page banner,,
Women's Day Steam Event,?,Y,C,?,?,-,,
Experimental Game Workshop,,,,,,,,
The Mini Indie Showcase,,,,,,,,
The Storyteller's Festival,,,,,,,,
Digital Vikings,-,-,N,-,-,-,,
Steam Digital Tabletop Fest,,,,,,,,
London Games Festival,?,?,Y,-,-,Weeklong deal,,
LudoNarraCon,Y,Y,Y,?,?,Middlepage banner + Weekend,,
PAX East,?,N,N,,,,,
Cerebral Puzzle Showcase,,,,,,,,
DevGAMM - Spring,N,N,-,-,-,-,,
Digital Dragons - Indie Celebration,N,N,,,,,,
INDIE Live Expo - Summer,,,Y,,,Notification + One day featuring,,
Tacticon,-,Y,,-,?,,,
Games Made in Europe,,,,,,,,
Day of the Devs,,,,,,,,
Future of Play Direct,,,Y,,,Summer Spotlight mix https://store.steampowered.com/sale/summer_announcements_2023,,
Game Dev Days,,,,,,,,
Games in Italy,,,,,,,,
Guerilla Collective,,,Y,,,Summer Spotlight mix https://store.steampowered.com/sale/summer_announcements_2023,,
OTK Expo,,,Y,,,Summer Spotlight mix https://store.steampowered.com/sale/summer_announcements_2023 (link to OTK didn't work for whole event),,
PC Gaming Show,,,Y,,,Summer Spotlight mix https://store.steampowered.com/sale/summer_announcements_2023,,
Pixel Heaven - Pixel Awards Europe,,,,,,,,
Save & Sound,?,Y,,?,Weeklong,,,
Steam Next Fest - June,Y,Y,Y,Takeover,Takeover,Takeover,,
Wholesome Direct,,,Y,,,Summer Spotlight mix https://store.steampowered.com/sale/summer_announcements_2023,,
Day of the Devs: Summer Game Fest,,,,,,,,
Indie3,,,,,,,,
GameMaker Awards,,,,,,,,
Games For Change Festival,,,,,,,,
Season of Pride,,,,,,,,
SwissGames Showcase,,,,,,,,
Bitsummit,,,,,,,,
Gamescom,,,,,,,,
Realms Deep,,,,,,,,
The Nightmarket Festival,,,,,,,,
Tiny Teams,,,,,,,,
Cat Awarness Steam Sale,,,,,,,,
Fear Fest,,,,,,,,
Game Devs of Color Expo / Gradient Convergence,,,,,,,,
Games From Ontario Steam Sale,,,,,,,,
Indie Cup,,,,,,,,
Latam Games,,,,,,,,
Latinx Game Festival,,,,,,,,
PAX West,,,,,,,,
Seattle Indies Expo,,,,,,,,
The Escapist Indie Showcase,,,,,,,,
DevPlay,,,,,,,,
Dreamhack Beyond,,,,,,,,
EGX / The Leftfield Collection,,,,,,,,
Games Made in France,,,,,,,,
Games Without Borders by Tencent,,,,,,,,
Melbourne International Games Week,,,,,,,,
Roguelike Celebration,Y,,,,,,,
Steam Next Fest - October,,,,,,,,
Tokyo Game Show,,,,,,,,
AdventureX,,,,,,,,
Czech & Slovak Games Week,,,,,,,,
DevGAMM - Autumn,,,,,,,,
Golden Joysticks Awards,,,,,,,,
IndieCade,,,,,,,,
IndieLand,,,,,,,,
Indie X Online,,,,,,,,
Steam Tabletop Festival,,,,,,,,
WePlay,,,,,,,,
INDIE Live Expo - Winter,,,,,,,,
The Games Awards Festival,,,,,,,,
TurnBasedFest,,,,,,,,
Eastern Games Fest,?,?,Y,?,?,In China Only,,
Lovecraftian Days,,,Y,,,Weekend,,
Summer Game Fest,,,Y,,,Summer Spotlight mix https://store.steampowered.com/sale/summer_announcements_2023,,
IGN Summer of Gaming,,,Y,,,Summer Spotlight mix https://store.steampowered.com/sale/summer_announcements_2023,,
